category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IPC2,QAT,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.097,0.0775,0.11,0.11599999999999999,0.11800000000000001,0.0969,0.10400000000000001,0.16,0.162,0.94,1.75,1.79,1.79,1.79,1.79,1.79,1.79,1.94,1.94,2.07,2.2,2.33,2.46,,,,
IPC2,ROU,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,2.85,1.85,1.37,1.32,1.94,1.98,1.81,2.1,1.71,1.55,2.09,1.95,2.32,2.78,3.51,3.38,3.54,2.02,2.0,0.718,1.05,0.7859999999999999,0.813,0.615,0.5429999999999999,0.628,0.486
IPC2,RUS,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,18.0,16.9,15.6,14.4,13.2,13.0,10.5,11.9,10.7,13.5,15.7,16.7,17.3,19.3,19.7,19.6,20.7,21.4,21.8,18.3,20.7,21.6,21.6,23.1,22.3,23.2,23.5
IPC2,SAU,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,9.59,8.22,9.59,9.71,9.03,8.18,7.63,7.9,9.35,9.02,11.2,13.6,14.9,16.1,18.5,22.4,23.3,24.4,28.3,33.1,35.7,36.1,36.5,,,,
IPC2,SGP,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.182,0.192,0.205,0.195,0.215,0.225,0.242,0.255,0.265,0.28,0.294,0.331,0.413,0.496,0.578,0.6609999999999999,0.743,0.7759999999999999,0.826,0.8590000000000001,0.892,0.925,0.958,,,,
IPC2,SMR,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.000512,0.00047999999999999996,0.00041,0.000376,0.000373,0.00042,0.000408,0.00043499999999999995,0.000437,0.000408,0.000462,0.00044699999999999997,0.000454,0.000433,0.00046399999999999995,0.00046699999999999997,0.000446,0.00047599999999999997,0.000381,0.000359,0.000407,0.000362,0.00036,,,,
IPC2,SRB,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.285,0.341,0.243,0.151,0.153,0.153,0.369,0.7240000000000001,0.772,0.171,0.342,0.345,0.284,0.354,0.529,0.627,0.762,0.879,1.01,1.14,1.27,0.0668,0.072,,,,
IPC2,SVK,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.0262,0.026,0.0258,0.0189,0.0227,0.0264,0.0269,0.0269,0.0259,0.0319,0.0265,0.023,0.0586,0.0712,0.0645,0.04,0.0365,0.0294,0.0309,0.0233,0.048,0.0582,0.0561,0.0652,0.0686,0.0709,0.0596
IPC2,SVN,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.195,0.214,0.0199,0.0405,0.145,0.221,0.198,0.299,0.3,0.327,0.313,0.336,0.298,0.37200000000000005,0.307,0.34600000000000003,0.311,0.345,0.213,0.244,0.192,0.22899999999999998,0.22899999999999998,,,,
IPC2,SWE,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,1.05,1.13,1.09,1.1,1.11,0.7340000000000001,0.335,0.354,0.34700000000000003,0.33799999999999997,0.376,0.386,0.384,0.395,0.39399999999999996,0.374,0.376,0.374,0.353,0.337,0.34700000000000003,0.34,0.364,0.35,0.35600000000000004,0.355,0.355
IPC2,THA,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.261,0.27699999999999997,0.295,0.27899999999999997,0.305,0.32,0.348,0.364,0.377,0.39899999999999997,0.42,0.42,0.42,0.519,0.586,0.621,0.6709999999999999,0.737,0.836,0.88,0.924,0.9690000000000001,1.01,,,,
IPC2,TKM,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.0979,0.0918,0.0687,0.0669,0.0693,0.0693,0.0516,0.0523,0.0359,0.0166,0.017,0.0136,0.0188,0.0208,0.0231,0.0204,0.0177,0.015,0.0123,0.0096,0.0069,0.0069,0.0069,,,,
